sponsor,sponsor_class,trials
University Hospital Ostrava,OTHER,5
Hannover Medical School,OTHER,5
ViaCyte,INDUSTRY,5
Per-Ola Carlsson,OTHER,5
"University Hospital, Motol",OTHER,5
Northumbria University,OTHER,5
Corporacion Parc Tauli,OTHER,5
KK Women's and Children's Hospital,OTHER_GOV,5
"Anna Stanhewicz, PhD",OTHER,5
Women and Infants Hospital of Rhode Island,OTHER,5
Mylan Inc.,INDUSTRY,5
Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,5
Campus Bio-Medico University,OTHER,5
Peter Rossing,OTHER,5
Foundation for the National Institutes of Health,OTHER,5
Montreal Heart Institute,OTHER,5
Astellas Pharma Europe B.V.,INDUSTRY,5
Ben-Gurion University of the Negev,OTHER,5
University of Mississippi Medical Center,OTHER,5
University College Dublin,OTHER,5
Adrian Vella,OTHER,5
Torrent Pharmaceuticals Limited,INDUSTRY,5
